window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1,2026-08-26 17:27:54.858349,2026-08-26 17:27:56.871326,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.993553,125.187727,126,0.0,126,126,2.107651,0.218796,1.952939,2.262363,4.677943,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,Normal
2,2026-08-26 17:27:58.627855,2026-08-26 17:28:00.649054,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.989512,124.678471,126,0.0,126,126,1.892906,0.107959,1.816567,1.969245,8.455672,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ConnectionResetExperiment
3,2026-08-26 17:28:02.850326,2026-08-26 17:28:04.899631,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.975941,122.968521,126,0.0,126,126,2.10563,0.208732,1.958035,2.253226,12.706248,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ConnectionResetExperiment
4,2026-08-26 17:28:06.838608,2026-08-26 17:28:08.876376,1,10.154.10.17,0.0.0.0,64080,9000,1,126,0.490733,61.832368,126,0.0,126,126,2.030248,0.0,2.030248,2.030248,16.682994,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ConnectionResetExperiment
5,2026-08-26 17:28:08.887618,2026-08-26 17:28:10.892728,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.997451,125.678889,126,0.0,126,126,1.998785,0.071029,1.94856,2.04901,18.699346,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ConnectionResetExperiment
6,2026-08-26 17:28:12.682826,2026-08-26 17:28:14.726316,1,10.154.10.17,0.0.0.0,64080,9000,1,126,0.489359,61.659222,126,0.0,126,126,1.846648,0.0,1.846648,1.846648,22.532934,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ConnectionResetExperiment
7,2026-08-26 17:28:14.831099,2026-08-26 17:28:16.843946,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.993617,125.195793,126,0.0,126,126,1.996567,0.214544,1.844862,2.148273,24.650563,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ConnectionResetExperiment
8,2026-08-26 17:28:18.598207,2026-08-26 17:28:20.625476,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.986549,124.305212,126,0.0,126,126,1.960354,0.053892,1.922247,1.998461,28.432093,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ConnectionResetExperiment
9,2026-08-26 17:28:22.710493,2026-08-26 17:28:24.724407,1,10.154.10.17,0.0.0.0,64080,9000,1,126,0.496546,62.564749,126,0.0,126,126,2.113824,0.0,2.113824,2.113824,32.531025,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ConnectionResetExperiment
10,2026-08-26 17:28:24.862897,2026-08-26 17:28:26.894130,1,10.154.10.17,0.0.0.0,64080,9000,2,252,0.984623,124.062558,126,0.0,126,126,2.035705,0.165037,1.919006,2.152404,34.700748,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ConnectionResetExperiment
11,2026-08-26 17:28:28.355782,2026-08-26 17:28:30.386826,1,127.0.0.1,0.0.0.0,53749,9000,19,2394,9.354794,1178.704012,126,0.0,126,126,0.009959,0.0,0.009959,0.009959,38.193444,0.512821,0,0,20,18,0,0.0,0,0.0,2.105263,0,7.202941,ConnectionResetExperiment
12,2026-08-26 17:28:30.430787,2026-08-26 17:28:32.454285,1,127.0.0.1,0.0.0.0,53767,9000,20,2520,9.883875,1245.36828,126,0.0,126,126,0.067205,0.0,0.067205,0.067205,40.260903,0.512195,0,0,21,19,0,0.0,0,0.0,2.0,0,7.333333,ConnectionResetExperiment
13,2026-08-26 17:28:32.538612,2026-08-26 17:28:34.578857,1,127.0.0.1,0.0.0.0,53786,9000,19,2394,9.312608,1173.388595,126,0.0,126,126,0.106865,0.0,0.106865,0.106865,42.385474,0.536585,0,0,22,18,0,0.0,0,0.0,2.105263,0,7.888935,ConnectionResetExperiment
14,2026-08-26 17:28:34.592281,2026-08-26 17:28:36.604815,1,127.0.0.1,0.0.0.0,53804,9000,19,2394,9.440838,1189.545601,126,0.0,126,126,0.059537,0.0,0.059537,0.059537,44.411432,0.547619,0,0,23,18,0,0.0,0,0.0,2.105263,0,8.231932,ConnectionResetExperiment
15,2026-08-26 17:28:36.637480,2026-08-26 17:28:38.679853,1,10.154.10.17,0.0.0.0,64080,9000,19,2394,9.302903,1172.165803,126,0.0,126,126,0.097097,0.0,0.097097,0.097097,46.486471,0.55814,0,0,24,18,0,0.0,0,0.0,2.105263,-1.388889,5.892557,ConnectionResetExperiment
16,2026-08-26 17:28:38.686866,2026-08-26 17:28:40.699290,1,127.0.0.1,0.0.0.0,53840,9000,19,2394,9.441349,1189.610005,126,0.0,126,126,0.090503,0.0,0.090503,0.090503,48.505908,0.568182,0,0,25,18,0,0.0,0,0.0,2.105263,0,8.917926,ConnectionResetExperiment
17,2026-08-26 17:28:40.767775,2026-08-26 17:28:42.788722,1,127.0.0.1,0.0.0.0,53858,9000,21,2646,10.391167,1309.28704,126,0.0,126,126,0.065172,0.01708,0.053095,0.077249,50.59534,0.716216,0,0,27,19,0,0.0,0,0.0,1.904762,0,12.619951,ConnectionResetExperiment
18,2026-08-26 17:28:42.833069,2026-08-26 17:28:44.863627,1,127.0.0.1,0.0.0.0,53877,9000,19,2394,9.357033,1178.986205,126,0.0,126,126,0.065733,0.0,0.065733,0.065733,52.670245,0.595745,0,0,28,18,0,0.0,0,0.0,2.105263,0,9.946918,ConnectionResetExperiment
19,2026-08-26 17:28:44.883116,2026-08-26 17:28:46.931350,1,127.0.0.1,0.0.0.0,53895,9000,20,2520,9.764513,1230.328614,126,0.0,126,126,0.011686,0.0,0.011686,0.011686,54.737967,0.591837,0,0,29,19,0,0.0,0,0.0,2.0,0,10.0,ConnectionResetExperiment
20,2026-08-26 17:28:47.022721,2026-08-26 17:28:49.051357,1,127.0.0.1,0.0.0.0,53084,9000,20,2520,9.858841,1242.213993,126,0.0,126,126,0.010193,0.0,0.010193,0.010193,56.857975,0.6,0,0,30,19,0,0.0,0,0.0,2.0,0,10.333333,ConnectionResetExperiment
21,2026-08-26 17:28:49.093479,2026-08-26 17:28:51.110391,1,127.0.0.1,0.0.0.0,53112,9000,19,2394,9.420339,1186.96277,126,0.0,126,126,0.077632,0.0,0.077632,0.077632,58.917009,0.62,0,0,31,18,0,0.0,0,0.0,1.052632,0,10.975909,ConnectionResetExperiment
