window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1,2026-08-27 04:30:55.780477,2026-08-27 04:30:57.786482,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.997007,125.622829,126,0.0,126,126,1.99713,0.003074,1.994957,1.999304,4.211294,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,Normal
2,2026-08-27 04:30:59.795033,2026-08-27 04:31:01.820772,1,10.154.10.17,0.0.0.0,61118,9000,1,126,0.493647,62.199532,126,0.0,126,126,2.019599,0.0,2.019599,2.019599,8.245584,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
3,2026-08-27 04:31:01.848861,2026-08-27 04:31:03.855349,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.996767,125.592617,126,0.0,126,126,2.002299,0.072873,1.950769,2.053828,10.28016,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
4,2026-08-27 04:31:05.845651,2026-08-27 04:31:07.886782,1,10.154.10.17,0.0.0.0,61118,9000,1,126,0.489925,61.730488,126,0.0,126,126,2.04602,0.0,2.04602,2.04602,14.311593,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
5,2026-08-27 04:31:07.895828,2026-08-27 04:31:09.905445,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.995214,125.397023,126,0.0,126,126,1.992436,0.081658,1.934695,2.050177,16.330256,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
6,2026-08-27 04:31:11.886621,2026-08-27 04:31:13.889590,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.998518,125.813244,126,0.0,126,126,2.002586,0.075679,1.949073,2.056099,20.314402,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
7,2026-08-27 04:31:15.877668,2026-08-27 04:31:17.927355,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.975759,122.945606,126,0.0,126,126,1.995604,0.065577,1.949234,2.041974,24.352167,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
8,2026-08-27 04:31:19.764941,2026-08-27 04:31:21.814848,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.975654,122.932437,126,0.0,126,126,1.969091,0.043914,1.938039,2.000144,28.239659,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
9,2026-08-27 04:31:23.765383,2026-08-27 04:31:25.791438,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.98714,124.379624,126,0.0,126,126,2.008336,0.011368,2.000298,2.016375,32.21625,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
10,2026-08-27 04:31:27.856132,2026-08-27 04:31:29.874446,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.990926,124.856694,126,0.0,126,126,2.008325,0.093408,1.942276,2.074374,36.299257,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
11,2026-08-27 04:31:31.849081,2026-08-27 04:31:33.856205,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.996451,125.552814,126,0.0,126,126,1.997406,0.075332,1.944138,2.050674,40.281016,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
12,2026-08-27 04:31:35.767566,2026-08-27 04:31:37.773193,1,10.154.10.17,0.0.0.0,61118,9000,1,126,0.498597,62.823234,126,0.0,126,126,1.974347,0.0,1.974347,1.974347,44.198005,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
13,2026-08-27 04:31:37.898447,2026-08-27 04:31:39.940934,1,10.154.10.17,0.0.0.0,61118,9000,2,252,0.979198,123.378961,126,0.0,126,126,2.039621,0.129061,1.94836,2.130881,46.365746,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
