window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1,2026-08-27 14:10:33.242695,2026-08-27 14:10:35.288240,1,10.154.10.17,0.0.0.0,55728,9000,1,126,0.488867,61.597259,126,0.0,126,126,2.004267,0.0,2.004267,2.004267,5.733461,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Normal
2,2026-08-27 14:10:35.391343,2026-08-27 14:10:37.405784,1,10.154.10.17,0.0.0.0,55728,9000,2,252,0.992831,125.096738,126,0.0,126,126,1.958454,0.268975,1.76826,2.148648,7.851004,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DelayExperiment
3,2026-08-27 14:10:39.389947,2026-08-27 14:10:41.415572,1,10.154.10.17,0.0.0.0,55728,9000,1,126,0.493675,62.203009,126,0.0,126,126,2.230345,0.0,2.230345,2.230345,11.860793,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DelayExperiment
4,2026-08-27 14:10:41.446765,2026-08-27 14:10:43.487917,1,10.154.10.17,0.0.0.0,55728,9000,2,252,0.979838,123.45965,126,0.0,126,126,1.897088,0.225892,1.737358,2.056818,13.933138,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DelayExperiment
5,2026-08-27 14:10:45.235207,2026-08-27 14:10:47.269457,1,10.154.10.17,0.0.0.0,55728,9000,1,126,0.491582,61.939275,126,0.0,126,126,2.051084,0.0,2.051084,2.051084,17.714678,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DelayExperiment
6,2026-08-27 14:10:47.284260,2026-08-27 14:10:49.288707,1,10.154.10.17,0.0.0.0,55728,9000,2,252,0.997782,125.720492,126,0.0,126,126,1.996538,0.074267,1.944023,2.049053,19.733927,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DelayExperiment
7,2026-08-27 14:10:51.572888,2026-08-27 14:10:53.574096,1,10.154.10.17,0.0.0.0,55728,9000,2,252,0.999396,125.923953,126,0.0,126,126,1.997084,0.491469,1.649562,2.344605,24.019317,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DelayExperiment
8,2026-08-27 14:10:55.168867,2026-08-27 14:10:57.204305,1,10.154.10.17,0.0.0.0,55728,9000,1,126,0.491295,61.903151,126,0.0,126,126,1.946417,0.0,1.946417,1.946417,27.649526,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DelayExperiment
9,2026-08-27 14:10:57.218733,2026-08-27 14:10:59.223349,1,10.154.10.17,0.0.0.0,55728,9000,1,126,0.498849,62.854915,126,0.0,126,126,2.049865,0.0,2.049865,2.049865,29.66857,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DelayExperiment
10,2026-08-27 14:10:59.258263,2026-08-27 14:11:01.291433,1,10.154.10.17,0.0.0.0,55728,9000,1,126,0.491843,61.972177,126,0.0,126,126,2.03953,0.0,2.03953,2.03953,31.736654,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DelayExperiment
