window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
2390,2026-08-28 16:15:31.639079,2026-08-28 16:15:33.675932,1,10.154.10.17,0.0.0.0,61036,9000,1,126,0.490953,61.860132,126,0.0,126,126,1.953642,0.0,1.953642,1.953642,5968.258896,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Normal
2391,2026-08-28 16:15:33.713090,2026-08-28 16:15:35.729767,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.991731,124.958058,126,0.0,126,126,1.970433,0.146482,1.866855,2.074012,5970.312731,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2392,2026-08-28 16:15:37.692055,2026-08-28 16:15:39.738508,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.9773,123.139863,126,0.0,126,126,2.017084,0.134385,1.92206,2.112109,5974.321472,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2393,2026-08-28 16:15:41.591724,2026-08-28 16:15:43.624631,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.983813,123.960446,126,0.0,126,126,1.990996,0.01893,1.97761,2.004381,5978.207595,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2394,2026-08-28 16:15:45.587531,2026-08-28 16:15:47.614771,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.986563,124.306923,126,0.0,126,126,2.005552,0.019979,1.991425,2.019679,5982.197736,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2395,2026-08-28 16:15:49.658816,2026-08-28 16:15:51.708278,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.975866,122.959122,126,0.0,126,126,1.986882,0.091533,1.922158,2.051606,5986.291242,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2396,2026-08-28 16:15:53.577288,2026-08-28 16:15:55.596186,1,10.154.10.17,0.0.0.0,61036,9000,1,126,0.49532,62.41027,126,0.0,126,126,1.996314,0.0,1.996314,1.996314,5990.17915,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
2397,2026-08-28 16:15:55.705406,2026-08-28 16:15:57.721895,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.991823,124.969686,126,0.0,126,126,2.033298,0.134096,1.938478,2.128118,5992.304859,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2398,2026-08-28 16:15:59.578360,2026-08-28 16:16:01.620385,1,10.154.10.17,0.0.0.0,61036,9000,1,126,0.48971,61.703446,126,0.0,126,126,1.934476,0.0,1.934476,1.934476,5996.203349,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
2399,2026-08-28 16:16:01.640464,2026-08-28 16:16:03.690338,1,10.154.10.17,0.0.0.0,61036,9000,1,126,0.487835,61.467176,126,0.0,126,126,2.062104,0.0,2.062104,2.062104,5998.273302,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
2400,2026-08-28 16:16:03.697703,2026-08-28 16:16:05.709357,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.994206,125.270013,126,0.0,126,126,1.983094,0.104858,1.908948,2.057239,6000.292321,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2401,2026-08-28 16:16:05.115534,2026-08-28 16:16:07.121410,99,127.0.0.1,0.0.0.0,63272,9000,10,1260,4.985355,628.154686,126,0.0,126,126,0.200862,0.00049,0.199643,0.201399,2.005875,0.0,0,0,0,0,0,0.0,0,0.0,2.0,1,0.0,DeviceSpoofExperiment
2402,2026-08-28 16:16:07.126867,2026-08-28 16:16:09.143887,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.453592,687.152582,126,0.0,126,126,0.200947,0.001199,0.198254,0.203578,4.028352,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2403,2026-08-28 16:16:07.602906,2026-08-28 16:16:09.648976,1,10.154.10.17,0.0.0.0,61036,9000,1,126,0.488742,61.581468,126,0.0,126,126,1.996255,0.0,1.996255,1.996255,6004.23194,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
2404,2026-08-28 16:16:09.334549,2026-08-28 16:16:11.366925,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.412385,681.960488,126,0.0,126,126,0.20102,0.000245,0.200647,0.201528,6.25139,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2405,2026-08-28 16:16:09.696855,2026-08-28 16:16:11.721146,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.988,124.488028,126,0.0,126,126,2.03681,0.080808,1.979671,2.09395,6006.304111,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2406,2026-08-28 16:16:11.545714,2026-08-28 16:16:13.595905,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.365353,676.03452,126,0.0,126,126,0.201096,0.000258,0.200639,0.201521,8.480371,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2407,2026-08-28 16:16:13.730157,2026-08-28 16:16:15.770137,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.980402,123.530627,126,0.0,126,126,1.980889,0.102873,1.908147,2.053631,6010.353101,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2408,2026-08-28 16:16:13.758197,2026-08-28 16:16:15.770137,99,127.0.0.1,0.0.0.0,63272,9000,10,1260,4.970327,626.26122,126,0.0,126,126,0.201219,0.000477,0.20082,0.202446,10.654603,0.0,0,0,0,0,0,0.0,0,0.0,2.0,1,0.0,DeviceSpoofExperiment
2409,2026-08-28 16:16:15.770695,2026-08-28 16:16:17.801791,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.415796,682.390283,126,0.0,126,126,0.201119,0.000285,0.200713,0.201521,12.686257,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2410,2026-08-28 16:16:17.585202,2026-08-28 16:16:19.624312,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.98082,123.583331,126,0.0,126,126,1.976739,0.0422,1.946899,2.006579,6014.207277,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2411,2026-08-28 16:16:17.982471,2026-08-28 16:16:20.028444,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.376414,677.428195,126,0.0,126,126,0.201521,0.001426,0.200816,0.205799,14.91291,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2412,2026-08-28 16:16:20.199275,2026-08-28 16:16:22.200652,99,127.0.0.1,0.0.0.0,63272,9000,10,1260,4.99656,629.56651,126,0.0,126,126,0.200888,8.8e-05,0.200732,0.201062,17.085118,0.0,0,0,0,0,0,0.0,0,0.0,2.0,1,0.0,DeviceSpoofExperiment
2413,2026-08-28 16:16:21.580898,2026-08-28 16:16:23.618359,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.981614,123.683375,126,0.0,126,126,1.994197,0.007185,1.989117,1.999278,6018.201323,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2414,2026-08-28 16:16:22.208636,2026-08-28 16:16:24.226481,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.451359,686.871257,126,0.0,126,126,0.201121,0.00032,0.200646,0.201615,19.110947,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2415,2026-08-28 16:16:24.420742,2026-08-28 16:16:26.468769,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.371024,676.749035,126,0.0,126,126,0.203244,0.004441,0.200666,0.213021,21.353234,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2416,2026-08-28 16:16:25.703473,2026-08-28 16:16:27.733491,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.985213,124.136839,126,0.0,126,126,1.999686,0.174812,1.876075,2.123297,6022.316455,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
2417,2026-08-28 16:16:26.656091,2026-08-28 16:16:28.692299,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.402199,680.677052,126,0.0,126,126,0.200923,0.000109,0.200754,0.201072,23.576764,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2418,2026-08-28 16:16:28.866251,2026-08-28 16:16:30.910831,99,127.0.0.1,0.0.0.0,63272,9000,11,1386,5.380077,677.889683,126,0.0,126,126,0.201081,0.000529,0.200764,0.202657,25.795297,0.0,0,0,0,0,0,0.0,0,0.0,1.818182,1,0.0,DeviceSpoofExperiment
2419,2026-08-28 16:16:29.581005,2026-08-28 16:16:31.618711,1,10.154.10.17,0.0.0.0,61036,9000,1,126,0.490748,61.834235,126,0.0,126,126,2.001457,0.0,2.001457,2.001457,6026.201675,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
2420,2026-08-28 16:16:31.078209,2026-08-28 16:16:33.084581,99,127.0.0.1,0.0.0.0,63272,9000,10,1260,4.984122,627.999352,126,0.0,126,126,0.201114,0.000246,0.200686,0.201519,27.969046,0.0,0,0,0,0,0,0.0,0,0.0,2.0,1,0.0,DeviceSpoofExperiment
2421,2026-08-28 16:16:31.637956,2026-08-28 16:16:33.641587,1,10.154.10.17,0.0.0.0,61036,9000,2,252,0.998188,125.771669,126,0.0,126,126,2.000042,0.080481,1.943134,2.056951,6028.224551,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
