window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1,2026-08-29 04:04:49.158136,2026-08-29 04:04:51.165715,1,10.154.10.17,0.0.0.0,54056,9000,1,126,0.498112,62.762167,126,0.0,126,126,1.918261,0.0,1.918261,1.918261,4.786188,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DuplicatePacketExperiment
2,2026-08-29 04:04:51.253785,2026-08-29 04:04:53.295533,1,10.154.10.17,0.0.0.0,54056,9000,2,252,0.979553,123.423666,126,0.0,126,126,1.963344,0.187108,1.831039,2.095649,6.916006,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DuplicatePacketExperiment
3,2026-08-29 04:04:55.230875,2026-08-29 04:04:57.279086,1,10.154.10.17,0.0.0.0,54056,9000,2,252,0.976462,123.034179,126,0.0,126,126,2.002412,0.203135,1.858774,2.14605,10.899559,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DuplicatePacketExperiment
4,2026-08-29 04:04:59.183060,2026-08-29 04:05:01.214738,1,10.154.10.17,0.0.0.0,54056,9000,2,252,0.984408,124.035406,126,0.0,126,126,2.020882,0.102572,1.948352,2.093411,14.835211,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DuplicatePacketExperiment
5,2026-08-29 04:05:03.177648,2026-08-29 04:05:05.195412,1,10.154.10.17,0.0.0.0,54056,9000,2,252,0.991196,124.89073,126,0.0,126,126,1.978009,0.096487,1.909783,2.046236,18.815885,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DuplicatePacketExperiment
6,2026-08-29 04:05:07.094831,2026-08-29 04:05:09.130847,1,10.154.10.17,0.0.0.0,54056,9000,2,252,0.982311,123.771159,126,0.0,126,126,2.00019,0.010195,1.992981,2.0074,22.75132,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DuplicatePacketExperiment
7,2026-08-29 04:05:11.161759,2026-08-29 04:05:13.165352,1,10.154.10.17,0.0.0.0,54056,9000,1,126,0.499103,62.887024,126,0.0,126,126,2.073946,0.0,2.073946,2.073946,26.785825,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DuplicatePacketExperiment
8,2026-08-29 04:05:13.205358,2026-08-29 04:05:15.233594,1,10.154.10.17,0.0.0.0,54056,9000,1,126,0.493039,62.122929,126,0.0,126,126,2.043599,0.0,2.043599,2.043599,28.854068,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DuplicatePacketExperiment
9,2026-08-29 04:05:15.360724,2026-08-29 04:05:17.403809,1,10.154.10.17,0.0.0.0,54056,9000,2,252,0.978912,123.342909,126,0.0,126,126,2.051396,0.147037,1.947425,2.155366,31.024282,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DuplicatePacketExperiment
10,2026-08-29 04:05:19.239626,2026-08-29 04:05:21.285297,1,10.154.10.17,0.0.0.0,54056,9000,4,504,1.955349,246.37393,126,0.0,126,126,1.294201,1.036318,0.098429,1.931477,34.90577,0.0,1,0,0,1,0,0.0,0,0.0,10.0,1818.5,2570.33315,DuplicatePacketExperiment
11,2026-08-29 04:05:21.311577,2026-08-29 04:05:23.312598,1,127.0.0.1,0.0.0.0,53128,9000,21,2646,10.494644,1322.325171,126,0.0,126,126,0.09612,0.015644,0.041942,0.110396,36.933071,0.0,20,1,0,0,0,0.0,0,0.0,1.904762,0.0,0.0,DuplicatePacketExperiment
12,2026-08-29 04:05:23.330372,2026-08-29 04:05:25.334923,1,127.0.0.1,0.0.0.0,53128,9000,21,2646,10.476162,1319.996392,126,0.0,126,126,0.095801,0.015355,0.042594,0.102459,38.955396,0.0,20,1,0,0,0,0.0,0,0.0,1.904762,0.0,0.0,DuplicatePacketExperiment
13,2026-08-29 04:05:25.341973,2026-08-29 04:05:27.363483,1,127.0.0.1,0.0.0.0,53128,9000,22,2772,10.882952,1371.251937,126,0.0,126,126,0.096065,0.017594,0.019606,0.101501,40.983957,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
14,2026-08-29 04:05:27.455312,2026-08-29 04:05:29.480248,1,127.0.0.1,0.0.0.0,53128,9000,22,2772,10.86454,1368.932019,126,0.0,126,126,0.095927,0.016867,0.023928,0.101072,43.100721,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
15,2026-08-29 04:05:29.566001,2026-08-29 04:05:31.595973,1,127.0.0.1,0.0.0.0,53128,9000,22,2772,10.83759,1365.536346,126,0.0,126,126,0.095917,0.014978,0.042042,0.100801,45.216446,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
16,2026-08-29 04:05:31.679775,2026-08-29 04:05:33.716404,1,127.0.0.1,0.0.0.0,53128,9000,22,2772,10.802165,1361.07282,126,0.0,126,126,0.096184,0.020293,0.005563,0.104241,47.336877,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
17,2026-08-29 04:05:33.791840,2026-08-29 04:05:35.833766,1,127.0.0.1,0.0.0.0,53128,9000,22,2772,10.774141,1357.541753,126,0.0,126,126,0.096034,0.016514,0.026587,0.102026,49.454239,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
18,2026-08-29 04:05:35.905485,2026-08-29 04:05:37.952264,1,127.0.0.1,0.0.0.0,53128,9000,22,2772,10.748599,1354.323431,126,0.0,126,126,0.095905,0.016467,0.026816,0.101147,51.572737,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
19,2026-08-29 04:05:38.014846,2026-08-29 04:05:40.020804,1,127.0.0.1,0.0.0.0,53128,9000,21,2646,10.468815,1319.07075,126,0.0,126,126,0.095727,0.02074,0.005377,0.102552,53.641277,0.0,20,1,0,0,0,0.0,0,0.0,1.904762,0.0,0.0,DuplicatePacketExperiment
