window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1,2026-08-28 14:36:08.346981,2026-08-28 14:36:10.385352,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.981176,123.628156,126,0.0,126,126,1.934633,0.000204,1.934488,1.934777,4.968316,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,Normal
2,2026-08-28 14:36:12.338975,2026-08-28 14:36:14.377397,1,10.154.10.17,0.0.0.0,60130,9000,1,126,0.490576,61.812524,126,0.0,126,126,2.057506,0.0,2.057506,2.057506,8.960361,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,FloodingExperiment
3,2026-08-28 14:36:14.388891,2026-08-28 14:36:16.428731,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.980469,123.539044,126,0.0,126,126,1.972619,0.109313,1.895324,2.049915,11.011696,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,FloodingExperiment
4,2026-08-28 14:36:18.384102,2026-08-28 14:36:20.423611,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.980628,123.559133,126,0.0,126,126,2.010777,0.126021,1.921667,2.099888,15.006575,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,FloodingExperiment
5,2026-08-28 14:36:22.361166,2026-08-28 14:36:24.362852,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.999158,125.89385,126,0.0,126,126,2.008303,0.0666,1.961209,2.055397,18.945816,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,FloodingExperiment
6,2026-08-28 14:36:26.382021,2026-08-28 14:36:28.407485,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.987428,124.415962,126,0.0,126,126,1.985441,0.104942,1.911237,2.059646,22.990449,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,FloodingExperiment
7,2026-08-28 14:36:30.361516,2026-08-28 14:36:32.402326,1,10.154.10.17,0.0.0.0,60130,9000,1,126,0.490002,61.740203,126,0.0,126,126,2.068259,0.0,2.068259,2.068259,26.98529,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,FloodingExperiment
8,2026-08-28 14:36:32.419444,2026-08-28 14:36:34.428245,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.995619,125.447967,126,0.0,126,126,2.001916,0.079212,1.945905,2.057928,29.011209,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,FloodingExperiment
9,2026-08-28 14:36:36.412051,2026-08-28 14:36:38.414281,1,10.154.10.17,0.0.0.0,60130,9000,2,252,0.998886,125.859656,126,0.0,126,126,1.997163,0.070058,1.947624,2.046702,32.997245,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,FloodingExperiment
10,2026-08-28 14:36:40.403892,2026-08-28 14:36:42.407754,1,10.154.10.17,0.0.0.0,60130,9000,40,5040,19.961451,2515.14278,126,0.0,126,126,0.072958,0.32402,0.007486,2.044217,36.990719,0.0,0,1,0,1,0,0.0,0,0.0,2.5,0.342105,4.055536,FloodingExperiment
11,2026-08-28 14:36:42.413774,2026-08-28 14:36:44.427231,1,127.0.0.1,0.0.0.0,51744,9000,88,11088,43.705939,5506.948303,126,0.0,126,126,0.022948,0.00711,0.002722,0.040647,39.010195,0.0,0,1,0,0,0,0.0,0,0.0,1.136364,1,0.0,FloodingExperiment
12,2026-08-28 14:36:44.438837,2026-08-28 14:36:46.438868,1,127.0.0.1,0.0.0.0,51744,9000,89,11214,44.49931,5606.913109,126,0.0,126,126,0.022875,0.008384,0.002448,0.051726,41.021832,0.0,0,1,0,0,0,0.0,0,0.0,1.348315,1,0.0,FloodingExperiment
13,2026-08-28 14:36:46.455222,2026-08-28 14:36:48.460453,1,127.0.0.1,0.0.0.0,51744,9000,92,11592,45.879987,5780.878324,126,0.0,126,126,0.02186,0.006898,0.008982,0.040596,43.043417,0.0,0,1,0,0,0,0.0,0,0.0,1.304348,1,0.0,FloodingExperiment
14,2026-08-28 14:36:48.480968,2026-08-28 14:36:50.481009,1,127.0.0.1,0.0.0.0,51744,9000,89,11214,44.499072,5606.883031,126,0.0,126,126,0.022619,0.007184,0.005453,0.03938,45.063974,0.0,0,1,0,0,0,0.0,0,0.0,1.348315,1,0.0,FloodingExperiment
15,2026-08-28 14:36:50.492446,2026-08-28 14:36:52.500968,1,127.0.0.1,0.0.0.0,51744,9000,89,11214,44.311189,5583.209849,126,0.0,126,126,0.022761,0.006989,0.014148,0.039475,47.083932,0.0,0,1,0,0,0,0.0,0,0.0,1.348315,1,0.0,FloodingExperiment
16,2026-08-28 14:36:52.503168,2026-08-28 14:36:54.519570,1,127.0.0.1,0.0.0.0,51744,9000,91,11466,45.12989,5686.366094,126,0.0,126,126,0.022266,0.006946,0.010491,0.040228,49.102535,0.0,0,1,0,0,0,0.0,0,0.0,1.318681,1,0.0,FloodingExperiment
17,2026-08-28 14:36:54.538258,2026-08-28 14:36:56.543215,1,127.0.0.1,0.0.0.0,51744,9000,86,10836,42.893689,5404.604793,126,0.0,126,126,0.023605,0.008422,0.002755,0.040741,51.126179,0.0,0,1,0,0,0,0.0,0,0.0,1.395349,1,0.0,FloodingExperiment
18,2026-08-28 14:36:56.568250,2026-08-28 14:36:58.585433,1,127.0.0.1,0.0.0.0,51744,9000,88,11088,43.625213,5496.776883,126,0.0,126,126,0.023059,0.00754,0.00427,0.048747,53.168397,0.0,0,1,0,0,0,0.0,0,0.0,1.363636,1,0.0,FloodingExperiment
19,2026-08-28 14:36:58.594846,2026-08-28 14:37:00.628915,1,127.0.0.1,0.0.0.0,51744,9000,85,10710,41.788149,5265.306716,126,0.0,126,126,0.024175,0.008206,0.005886,0.051288,55.211879,0.0,0,1,0,0,0,0.0,0,0.0,1.411765,1,0.0,FloodingExperiment
20,2026-08-28 14:37:00.650589,2026-08-28 14:37:02.700778,1,127.0.0.1,0.0.0.0,51744,9000,96,12096,46.824945,5899.94312,126,0.0,126,126,0.02159,0.00717,0.000791,0.040896,57.283742,0.0,0,1,0,0,0,0.0,0,0.0,1.25,1,0.0,FloodingExperiment
21,2026-08-28 14:37:02.714852,2026-08-28 14:37:04.720656,1,127.0.0.1,0.0.0.0,51744,9000,93,11718,46.36543,5842.044118,126,0.0,126,126,0.021498,0.00645,0.009138,0.040307,59.303621,0.0,0,1,0,0,0,0.0,0,0.0,1.290323,1,0.0,FloodingExperiment
22,2026-08-28 14:37:04.721426,2026-08-28 14:37:06.741272,1,127.0.0.1,0.0.0.0,51744,9000,90,11340,44.557869,5614.291498,126,0.0,126,126,0.022534,0.00674,0.006816,0.040705,61.324236,0.0,0,1,0,0,0,0.0,0,0.0,1.111111,1,0.0,FloodingExperiment
23,2026-08-28 14:37:06.747715,2026-08-28 14:37:08.764260,1,127.0.0.1,0.0.0.0,51744,9000,90,11340,44.630806,5623.481598,126,0.0,126,126,0.022415,0.007491,0.005991,0.041146,63.347224,0.0,0,1,0,0,0,0.0,0,0.0,1.333333,1,0.0,FloodingExperiment
24,2026-08-28 14:37:08.764721,2026-08-28 14:37:10.790893,1,127.0.0.1,0.0.0.0,51744,9000,89,11214,43.925202,5534.57542,126,0.0,126,126,0.022893,0.006431,0.014294,0.040509,65.373857,0.0,0,0,0,0,0,0.0,0,0.0,1.123596,1,0.0,FloodingExperiment
25,2026-08-28 14:37:10.801165,2026-08-28 14:37:12.814047,1,127.0.0.1,0.0.0.0,51744,9000,91,11466,45.208821,5696.311433,126,0.0,126,126,0.022243,0.00628,0.014378,0.039255,67.397011,0.0,0,0,0,0,0,0.0,0,0.0,1.318681,1,0.0,FloodingExperiment
26,2026-08-28 14:37:12.834528,2026-08-28 14:37:14.838615,1,127.0.0.1,0.0.0.0,51744,9000,87,10962,43.41129,5469.822496,126,0.0,126,126,0.023197,0.006652,0.014303,0.040428,69.421579,0.0,0,0,0,0,0,0.0,0,0.0,1.149425,1,0.0,FloodingExperiment
