window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1,2026-08-26 08:39:28.582222,2026-08-26 08:39:30.615956,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.983413,123.90999,126,0.0,126,126,1.999224,0.000369,1.998963,1.999485,5.141551,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
2,2026-08-26 08:39:32.575817,2026-08-26 08:39:34.617360,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.979651,123.436004,126,0.0,126,126,1.998625,0.005646,1.994632,2.002617,9.142955,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
3,2026-08-26 08:39:36.569877,2026-08-26 08:39:38.599456,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.985426,124.163657,126,0.0,126,126,1.996133,0.006633,1.991443,2.000824,13.125051,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
4,2026-08-26 08:39:40.574181,2026-08-26 08:39:42.580502,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.996849,125.603035,126,0.0,126,126,2.000717,0.003907,1.997954,2.00348,17.106096,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
5,2026-08-26 08:39:44.570637,2026-08-26 08:39:46.611165,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.980139,123.497459,126,0.0,126,126,1.999219,0.001014,1.998502,1.999937,21.13676,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
6,2026-08-26 08:39:48.570716,2026-08-26 08:39:50.587934,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.991464,124.924473,126,0.0,126,126,1.999799,0.000485,1.999456,2.000142,25.113529,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
7,2026-08-26 08:39:52.602288,2026-08-26 08:39:54.618713,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.991854,124.973616,126,0.0,126,126,2.00941,0.032112,1.986703,2.032116,29.144308,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
8,2026-08-26 08:39:56.587163,2026-08-26 08:39:58.596582,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.995313,125.409431,126,0.0,126,126,1.997559,0.000867,1.996946,1.998173,33.122176,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
9,2026-08-26 08:40:00.571050,2026-08-26 08:40:02.578025,1,10.154.10.17,0.0.0.0,53883,9000,1,126,0.498262,62.781068,126,0.0,126,126,1.986941,0.0,1.986941,1.986941,37.103619,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,NormalExperiment
10,2026-08-26 08:40:02.579897,2026-08-26 08:40:04.594273,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.992863,125.100795,126,0.0,126,126,2.001598,0.010252,1.994349,2.008847,39.119868,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
11,2026-08-26 08:40:06.572746,2026-08-26 08:40:08.577990,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.997385,125.670491,126,0.0,126,126,1.999136,0.0009,1.9985,1.999772,43.103584,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
12,2026-08-26 08:40:10.569044,2026-08-26 08:40:12.619396,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.975442,122.905705,126,0.0,126,126,1.998871,0.003315,1.996526,2.001215,47.144991,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
13,2026-08-26 08:40:14.570231,2026-08-26 08:40:16.601413,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.984649,124.065747,126,0.0,126,126,2.000109,0.000194,1.999972,2.000246,51.127007,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
14,2026-08-26 08:40:18.571395,2026-08-26 08:40:20.581031,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.995205,125.395862,126,0.0,126,126,1.999938,0.001386,1.998957,2.000918,55.106626,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
15,2026-08-26 08:40:22.594467,2026-08-26 08:40:24.612645,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.990993,124.865117,126,0.0,126,126,2.011996,0.017138,1.999878,2.024115,59.13824,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
16,2026-08-26 08:40:26.590620,2026-08-26 08:40:28.596771,1,10.154.10.17,0.0.0.0,53883,9000,2,252,0.996934,125.613663,126,0.0,126,126,1.996045,0.000324,1.995816,1.996274,63.122366,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,NormalExperiment
