window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
4,2026-08-27 17:01:43.491880,2026-08-27 17:01:45.536177,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.489166,61.634859,126,0.0,126,126,2.063216,0.0,2.063216,2.063216,15.842807,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Normal
5,2026-08-27 17:01:45.561818,2026-08-27 17:01:47.607564,1,10.154.10.17,0.0.0.0,62242,9000,2,252,0.977638,123.182428,126,0.0,126,126,1.981532,0.125025,1.893127,2.069938,17.914194,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,Normal
6,2026-08-27 17:01:49.534431,2026-08-27 17:01:51.553119,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.495371,62.416764,126,0.0,126,126,2.079486,0.0,2.079486,2.079486,21.859749,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
7,2026-08-27 17:01:51.625161,2026-08-27 17:01:53.643462,1,10.154.10.17,0.0.0.0,62242,9000,2,252,0.990933,124.85752,126,0.0,126,126,1.942131,0.210151,1.793531,2.09073,23.950092,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,SlowDoSExperiment
8,2026-08-27 17:01:55.496085,2026-08-27 17:01:57.533498,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.490818,61.843121,126,0.0,126,126,2.077392,0.0,2.077392,2.077392,27.840128,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
9,2026-08-27 17:01:57.552758,2026-08-27 17:01:59.556026,1,10.154.10.17,0.0.0.0,62242,9000,2,252,0.998368,125.794392,126,0.0,126,126,1.973102,0.118187,1.889532,2.056673,29.862656,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,SlowDoSExperiment
10,2026-08-27 17:02:01.510770,2026-08-27 17:02:03.548285,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.490794,61.840031,126,0.0,126,126,2.068481,0.0,2.068481,2.068481,33.854915,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
11,2026-08-27 17:02:03.571066,2026-08-27 17:02:05.619729,1,10.154.10.17,0.0.0.0,62242,9000,2,252,0.976247,123.00706,126,0.0,126,126,1.966613,0.132487,1.87293,2.060296,35.926358,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,SlowDoSExperiment
12,2026-08-27 17:02:07.426288,2026-08-27 17:02:09.456415,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.49258,62.065096,126,0.0,126,126,1.982292,0.0,1.982292,1.982292,39.763045,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
13,2026-08-27 17:02:09.519689,2026-08-27 17:02:11.530875,1,10.154.10.17,0.0.0.0,62242,9000,2,252,0.994438,125.299164,126,0.0,126,126,2.02264,0.10007,1.95188,2.093401,41.837505,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,SlowDoSExperiment
14,2026-08-27 17:02:13.607466,2026-08-27 17:02:15.625943,1,10.154.10.17,0.0.0.0,62242,9000,2,252,0.990846,124.846607,126,0.0,126,126,2.035452,0.142051,1.935007,2.135897,45.932573,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,SlowDoSExperiment
15,2026-08-27 17:02:17.512738,2026-08-27 17:02:19.516872,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.498968,62.870027,126,0.0,126,126,1.970265,0.0,1.970265,1.970265,49.823502,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
16,2026-08-27 17:02:19.563930,2026-08-27 17:02:21.589584,1,10.154.10.17,0.0.0.0,62242,9000,5,630,2.468339,311.010654,126,0.0,126,126,1.063826,1.396346,0.076461,2.051192,51.896214,0.857143,0,0,30,3,0,0.0,0,0.0,8.0,-7.5,29.422214,SlowDoSExperiment
17,2026-08-27 17:02:21.607852,2026-08-27 17:02:23.615293,1,127.0.0.1,0.0.0.0,54057,9000,8,1008,3.985173,502.131808,126,0.0,126,126,1.314679,0.0,1.314679,1.314679,53.921923,0.794872,0,0,31,7,0,0.0,0,0.0,5.0,4.571429,12.094863,SlowDoSExperiment
18,2026-08-27 17:02:25.481188,2026-08-27 17:02:27.510660,1,10.154.10.17,0.0.0.0,62242,9000,1,126,0.492739,62.08511,126,0.0,126,126,1.942912,0.0,1.942912,1.942912,57.81729,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
