window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1456,2026-09-06 07:37:42.882970,2026-09-06 07:37:44.888885,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.498526,62.814214,126,0.0,126,126,1.994842,0.0,1.994842,1.994842,3631.695179,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ConnectionResetExperiment
1457,2026-09-06 07:37:44.892158,2026-09-06 07:37:46.925786,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.983464,123.916426,126,0.0,126,126,2.014562,0.007601,2.009187,2.019937,3633.73208,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1458,2026-09-06 07:37:48.882911,2026-09-06 07:37:50.914171,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.984611,124.060927,126,0.0,126,126,1.996318,0.036064,1.970817,2.02182,3637.720464,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1459,2026-09-06 07:37:53.053774,2026-09-06 07:37:55.096565,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.979053,123.360659,126,0.0,126,126,1.997092,0.214891,1.845141,2.149043,3641.902858,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1460,2026-09-06 07:37:56.970254,2026-09-06 07:37:58.978004,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.99614,125.513603,126,0.0,126,126,1.996507,0.105828,1.921675,2.071339,3645.784298,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1461,2026-09-06 07:38:00.990475,2026-09-06 07:38:03.009871,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.990396,124.789843,126,0.0,126,126,1.996338,0.144545,1.894129,2.098547,3649.816164,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1462,2026-09-06 07:38:04.964097,2026-09-06 07:38:06.991694,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.98639,124.285085,126,0.0,126,126,2.010442,0.097653,1.941391,2.079493,3653.797987,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1463,2026-09-06 07:38:08.965231,2026-09-06 07:38:10.974566,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497677,62.707312,126,0.0,126,126,2.059743,0.0,2.059743,2.059743,3657.780859,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ConnectionResetExperiment
1464,2026-09-06 07:38:11.025895,2026-09-06 07:38:13.043537,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.991256,124.898286,126,0.0,126,126,1.99258,0.096286,1.924495,2.060664,3659.84983,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,ConnectionResetExperiment
1465,2026-09-06 07:38:14.376480,2026-09-06 07:38:16.427660,1,127.0.0.1,0.0.0.0,50758,9000,19,2394,9.262959,1167.132858,126,0.0,126,126,0.070547,0.0,0.070547,0.070547,3663.233954,0.990772,0,0,2040,18,0,0.0,0,0.0,2.105263,0,700.057225,ConnectionResetExperiment
1466,2026-09-06 07:38:16.446158,2026-09-06 07:38:18.448611,1,127.0.0.1,0.0.0.0,50776,9000,20,2520,9.98775,1258.456447,126,0.0,126,126,0.061099,0.0,0.061099,0.061099,3665.254905,0.990296,0,0,2041,19,0,0.0,0,0.0,2.0,0,680.666667,ConnectionResetExperiment
1467,2026-09-06 07:38:18.514685,2026-09-06 07:38:20.549921,1,127.0.0.1,0.0.0.0,50795,9000,18,2268,8.844185,1114.367276,126,0.0,126,126,0.109862,0.0,0.109862,0.109862,3667.356214,0.991262,0,0,2042,17,0,0.0,0,0.0,2.222222,0,722.309577,ConnectionResetExperiment
1468,2026-09-06 07:38:20.588305,2026-09-06 07:38:22.619680,1,127.0.0.1,0.0.0.0,50813,9000,21,2646,10.337825,1302.565887,126,0.0,126,126,0.055773,0.0,0.055773,0.055773,3669.425974,0.989826,0,0,2043,20,0,0.0,0,0.0,1.904762,0,663.16117,ConnectionResetExperiment
