window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
2031,2026-09-06 07:54:11.011099,2026-09-06 07:54:13.053594,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.489597,61.689243,126,0.0,126,126,2.040267,0.0,2.040267,2.040267,4619.859888,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
2032,2026-09-06 07:54:13.155351,2026-09-06 07:54:15.170702,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.992383,125.040265,126,0.0,126,126,1.995394,0.210517,1.846537,2.144252,4621.976995,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
2033,2026-09-06 07:54:16.966457,2026-09-06 07:54:18.986131,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.495129,62.386311,126,0.0,126,126,1.96457,0.0,1.96457,1.96457,4625.792424,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
2034,2026-09-06 07:54:19.014989,2026-09-06 07:54:21.044339,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985537,124.177661,126,0.0,126,126,1.997092,0.072747,1.945652,2.048532,4627.850633,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
2035,2026-09-06 07:54:22.929434,2026-09-06 07:54:24.939897,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497398,62.672138,126,0.0,126,126,1.968794,0.0,1.968794,1.968794,4631.746191,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
2036,2026-09-06 07:54:25.055346,2026-09-06 07:54:27.071803,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.991839,124.97171,126,0.0,126,126,2.02666,0.140363,1.927408,2.125912,4633.878096,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
2037,2026-09-06 07:54:28.904117,2026-09-06 07:54:30.971560,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.483689,60.944844,126,0.0,126,126,1.921363,0.0,1.921363,1.921363,4637.777854,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DataTamperingExperiment
2038,2026-09-06 07:54:31.127392,2026-09-06 07:54:33.142788,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.992361,125.037454,126,0.0,126,126,2.060639,0.230002,1.898002,2.223275,4639.949082,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
2039,2026-09-06 07:54:34.970080,2026-09-06 07:54:37.011879,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.979528,123.420539,126,0.0,126,126,1.945326,0.000906,1.944685,1.945966,4643.818173,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
2040,2026-09-06 07:54:39.073693,2026-09-06 07:54:41.090332,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.991749,124.960378,126,0.0,126,126,2.043237,0.161799,1.928828,2.157647,4647.896625,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DataTamperingExperiment
