window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1681,2026-09-06 07:45:58.892799,2026-09-06 07:46:00.908875,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.992026,124.995268,126,0.0,126,126,1.994885,0.005592,1.990931,1.998839,4127.715169,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
1682,2026-09-06 07:46:02.895006,2026-09-06 07:46:04.907777,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.496828,62.600269,126,0.0,126,126,2.003368,0.0,2.003368,2.003368,4131.71407,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
1683,2026-09-06 07:46:05.043930,2026-09-06 07:46:07.080772,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.490956,61.86048,126,0.0,126,126,2.148924,0.0,2.148924,2.148924,4133.887065,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
1684,2026-09-06 07:46:07.104378,2026-09-06 07:46:09.155116,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.975258,122.882557,126,0.0,126,126,1.921329,0.196743,1.782211,2.060448,4135.96141,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
1685,2026-09-06 07:46:10.886986,2026-09-06 07:46:12.934497,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.976796,123.076284,126,0.0,126,126,2.018658,0.025824,2.000398,2.036919,4139.740791,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
1686,2026-09-06 07:46:15.073108,2026-09-06 07:46:17.075044,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.999033,125.878168,126,0.0,126,126,2.044802,0.147645,1.940402,2.149203,4143.881338,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
1687,2026-09-06 07:46:18.963106,2026-09-06 07:46:20.970386,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.498186,62.771493,126,0.0,126,126,1.949596,0.0,1.949596,1.949596,4147.77668,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DeviceSpoofExperiment
1688,2026-09-06 07:46:21.011155,2026-09-06 07:46:23.042186,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.984722,124.074937,126,0.0,126,126,1.975479,0.10263,1.902909,2.048049,4149.848479,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
1689,2026-09-06 07:46:24.908453,2026-09-06 07:46:26.928823,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.989918,124.729687,126,0.0,126,126,1.996513,0.003004,1.994389,1.998637,4153.735116,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,DeviceSpoofExperiment
1690,2026-09-06 07:46:27.869621,2026-09-06 07:46:29.870667,99,127.0.0.1,0.0.0.0,58366,9000,10,1260,4.997384,629.6704,126,0.0,126,126,0.204561,0.01037,0.191188,0.224935,2.001047,0.0,0,0,0,0,0,0.0,0,0.0,2.0,1,0.0,DeviceSpoofExperiment
