window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
1018,2026-09-06 07:21:11.097490,2026-09-06 07:21:13.144085,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.977233,123.131356,126,0.0,126,126,1.957884,0.015021,1.947262,1.968505,2639.950378,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,PacketLossExperiment
1019,2026-09-06 07:21:15.101929,2026-09-06 07:21:17.130671,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985833,124.214947,126,0.0,126,126,1.949403,0.122373,1.862872,2.035934,2643.936964,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1020,2026-09-06 07:21:19.081734,2026-09-06 07:21:21.126427,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.978142,123.245843,126,0.0,126,126,1.981015,0.192217,1.845097,2.116933,2647.932721,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1021,2026-09-06 07:21:22.869303,2026-09-06 07:21:24.907988,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.490512,61.804558,126,0.0,126,126,1.942472,0.0,1.942472,1.942472,2651.714281,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DuplicatePacketExperiment
1022,2026-09-06 07:21:25.138644,2026-09-06 07:21:27.178820,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.980308,123.518804,126,0.0,126,126,2.054331,0.304071,1.83932,2.269341,2653.985113,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1023,2026-09-06 07:21:29.125507,2026-09-06 07:21:31.167150,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.979603,123.430008,126,0.0,126,126,2.093202,0.076849,2.038862,2.147542,2657.973444,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1024,2026-09-06 07:21:32.869516,2026-09-06 07:21:34.896873,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.493253,62.149902,126,0.0,126,126,1.705147,0.0,1.705147,1.705147,2661.703166,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,DuplicatePacketExperiment
1025,2026-09-06 07:21:35.021624,2026-09-06 07:21:37.069678,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.976537,123.043661,126,0.0,126,126,2.014605,0.194459,1.877102,2.152108,2663.875971,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1026,2026-09-06 07:21:38.871873,2026-09-06 07:21:40.880327,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.995791,125.469605,126,0.0,126,126,1.985367,0.017282,1.973147,1.997587,2667.686621,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1027,2026-09-06 07:21:42.886185,2026-09-06 07:21:44.915180,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985709,124.199387,126,0.0,126,126,2.000157,0.02343,1.98359,2.016725,2671.721474,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,DuplicatePacketExperiment
1028,2026-09-06 07:21:46.855604,2026-09-06 07:21:48.900796,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.756935,1355.37381,126,0.0,126,126,0.095618,0.016869,0.02539,0.10096,2675.707089,0.0,20,1,0,1,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1029,2026-09-06 07:21:48.909659,2026-09-06 07:21:50.921952,1,10.47.28.17,0.0.0.0,58214,9000,22,2772,10.932804,1377.533251,126,0.0,126,126,0.091411,0.024318,0.00489,0.101053,2677.728245,0.0,20,2,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1030,2026-09-06 07:21:50.975209,2026-09-06 07:21:52.990418,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.916985,1375.540061,126,0.0,126,126,0.095907,0.01873,0.01302,0.100795,2679.796711,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1031,2026-09-06 07:21:53.085079,2026-09-06 07:21:55.109330,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.868218,1369.395407,126,0.0,126,126,0.095964,0.015952,0.030933,0.100815,2681.915624,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1032,2026-09-06 07:21:55.197386,2026-09-06 07:21:57.233702,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.803826,1361.282058,126,0.0,126,126,0.096134,0.015465,0.035762,0.101623,2684.039995,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1033,2026-09-06 07:21:57.311260,2026-09-06 07:21:59.352805,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.776152,1357.795098,126,0.0,126,126,0.096018,0.014845,0.049256,0.101843,2686.159099,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1034,2026-09-06 07:21:59.423910,2026-09-06 07:22:01.471543,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.744114,1353.75842,126,0.0,126,126,0.095953,0.015041,0.04195,0.100778,2688.277837,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1035,2026-09-06 07:22:01.534529,2026-09-06 07:22:03.554741,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.889947,1372.133266,126,0.0,126,126,0.096258,0.0161,0.030715,0.107754,2690.361034,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
1036,2026-09-06 07:22:03.652114,2026-09-06 07:22:05.674119,1,127.0.0.1,0.0.0.0,58864,9000,22,2772,10.88029,1370.916598,126,0.0,126,126,0.095936,0.018449,0.014448,0.100989,2692.480412,0.0,21,1,0,0,0,0.0,0,0.0,1.818182,0.0,0.0,DuplicatePacketExperiment
