window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
603,2026-09-06 07:04:48.922225,2026-09-06 07:04:50.964032,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.979524,123.420063,126,0.0,126,126,2.038644,0.036324,2.012959,2.064329,1657.770325,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,PacketInjectionExperiment
604,2026-09-06 07:04:53.100968,2026-09-06 07:04:55.129555,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985908,124.224363,126,0.0,126,126,1.976486,0.267708,1.787188,2.165784,1661.935849,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,PacketInjectionExperiment
605,2026-09-06 07:04:56.975971,2026-09-06 07:04:58.981496,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.997245,125.652907,126,0.0,126,126,1.99508,0.131148,1.902344,2.087816,1665.787789,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,PacketInjectionExperiment
606,2026-09-06 07:05:00.975186,2026-09-06 07:05:03.023762,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.976288,123.012285,126,0.0,126,126,2.019939,0.108798,1.943007,2.096871,1669.830055,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,PacketInjectionExperiment
607,2026-09-06 07:05:04.856863,2026-09-06 07:05:06.859910,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.499239,62.904173,126,0.0,126,126,1.938669,0.0,1.938669,1.938669,1673.666203,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,PacketInjectionExperiment
608,2026-09-06 07:05:07.127282,2026-09-06 07:05:09.128586,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.999348,125.917892,126,0.0,126,126,2.051324,0.309848,1.832228,2.270419,1675.93488,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,PacketInjectionExperiment
609,2026-09-06 07:05:10.898270,2026-09-06 07:05:12.909325,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497251,62.653682,126,0.0,126,126,1.938759,0.0,1.938759,1.938759,1679.715618,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,PacketInjectionExperiment
610,2026-09-06 07:05:13.052767,2026-09-06 07:05:15.080713,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.98622,124.263679,126,0.0,126,126,2.000589,0.217659,1.846681,2.154497,1681.887006,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,PacketInjectionExperiment
611,2026-09-06 07:05:16.860878,2026-09-06 07:05:18.861480,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.49985,62.981057,126,0.0,126,126,1.96143,0.0,1.96143,1.96143,1685.667773,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,PacketInjectionExperiment
612,2026-09-06 07:05:19.102162,2026-09-06 07:05:21.132999,1,10.47.28.17,0.0.0.0,58214,9000,5,630,2.462039,310.216911,126,0.0,126,126,0.860882,0.920269,0.399502,2.241284,1687.939293,0.0,0,0,0,1,0,0.0,0,0.0,4.0,-262.5,527.0,PacketInjectionExperiment
