window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
40,2026-09-06 06:39:30.906218,2026-09-06 06:39:32.917376,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497226,62.650466,126,0.0,126,126,2.059337,0.0,2.059337,2.059337,139.723669,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Normal
41,2026-09-06 06:39:32.947197,2026-09-06 06:39:34.985861,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.981035,123.610402,126,0.0,126,126,2.037209,0.005333,2.033438,2.04098,141.792154,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
42,2026-09-06 06:39:36.974918,2026-09-06 06:39:38.981918,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.996512,125.56054,126,0.0,126,126,1.960245,0.048136,1.926207,1.994282,145.788211,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
43,2026-09-06 06:39:40.938778,2026-09-06 06:39:42.969931,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.984662,124.067436,126,0.0,126,126,1.962387,0.106442,1.887121,2.037653,149.776225,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
44,2026-09-06 06:39:44.939355,2026-09-06 06:39:46.955865,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.991812,124.968371,126,0.0,126,126,2.039088,0.105171,1.964721,2.113456,153.762158,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
45,2026-09-06 06:39:48.927796,2026-09-06 06:39:50.938436,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.994708,125.333248,126,0.0,126,126,1.979256,0.062882,1.934791,2.02372,157.744729,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
46,2026-09-06 06:39:52.844197,2026-09-06 06:39:54.872961,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.492911,62.106787,126,0.0,126,126,1.98161,0.0,1.98161,1.98161,161.679255,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
47,2026-09-06 06:39:54.996455,2026-09-06 06:39:57.043662,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.976941,123.094531,126,0.0,126,126,2.000507,0.214608,1.848756,2.152258,163.849956,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
48,2026-09-06 06:39:58.887413,2026-09-06 06:40:00.930129,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.979088,123.365151,126,0.0,126,126,2.033754,0.011947,2.025306,2.042202,167.736423,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
49,2026-09-06 06:40:02.843739,2026-09-06 06:40:04.868805,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.493811,62.220183,126,0.0,126,126,1.93102,0.0,1.93102,1.93102,171.675099,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
50,2026-09-06 06:40:04.967480,2026-09-06 06:40:06.988638,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.989532,124.68103,126,0.0,126,126,2.043553,0.113403,1.963365,2.123741,173.794931,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
51,2026-09-06 06:40:08.859396,2026-09-06 06:40:10.870936,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.994263,125.27711,126,0.0,126,126,1.952239,0.033501,1.92855,1.975928,177.67723,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
52,2026-09-06 06:40:12.869596,2026-09-06 06:40:14.908200,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.490532,61.807022,126,0.0,126,126,2.034273,0.0,2.034273,2.034273,181.714493,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
53,2026-09-06 06:40:15.017519,2026-09-06 06:40:17.024166,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.996688,125.582634,126,0.0,126,126,1.988632,0.225271,1.829342,2.147923,183.830459,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
54,2026-09-06 06:40:18.854650,2026-09-06 06:40:20.862684,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497999,62.747919,126,0.0,126,126,2.007789,0.0,2.007789,2.007789,187.668978,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
55,2026-09-06 06:40:20.878299,2026-09-06 06:40:22.882731,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.997789,125.721419,126,0.0,126,126,2.000405,0.032874,1.97716,2.02365,189.689025,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
56,2026-09-06 06:40:24.860124,2026-09-06 06:40:26.867240,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.996455,125.553276,126,0.0,126,126,2.001975,0.003805,1.999284,2.004665,193.673534,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
57,2026-09-06 06:40:28.881772,2026-09-06 06:40:30.902916,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.494769,62.340942,126,0.0,126,126,2.022364,0.0,2.022364,2.022364,197.709209,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
58,2026-09-06 06:40:30.930764,2026-09-06 06:40:32.973961,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.978858,123.33613,126,0.0,126,126,1.979715,0.097972,1.910438,2.048992,199.780254,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
59,2026-09-06 06:40:34.844860,2026-09-06 06:40:36.854570,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497584,62.695603,126,0.0,126,126,2.003658,0.0,2.003658,2.003658,203.660864,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
60,2026-09-06 06:40:36.997753,2026-09-06 06:40:39.025218,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.986454,124.293182,126,0.0,126,126,2.036821,0.164151,1.920749,2.152894,205.831511,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
61,2026-09-06 06:40:40.962863,2026-09-06 06:40:43.012409,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.975826,122.954016,126,0.0,126,126,2.041561,0.003959,2.038762,2.04436,209.818703,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
62,2026-09-06 06:40:44.959285,2026-09-06 06:40:46.998507,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.980766,123.576555,126,0.0,126,126,1.929185,0.040271,1.900709,1.957661,213.804801,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
63,2026-09-06 06:40:48.840932,2026-09-06 06:40:50.887073,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.488725,61.579351,126,0.0,126,126,1.980938,0.0,1.980938,1.980938,217.693366,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
64,2026-09-06 06:40:50.912607,2026-09-06 06:40:52.955090,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.9792,123.379206,126,0.0,126,126,2.052582,0.027,2.03349,2.071674,219.761384,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
65,2026-09-06 06:40:54.846370,2026-09-06 06:40:56.892470,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.977469,123.161127,126,0.0,126,126,1.946482,0.065348,1.900274,1.99269,223.698764,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
66,2026-09-06 06:40:58.855624,2026-09-06 06:41:00.885575,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985245,124.140922,126,0.0,126,126,2.020286,0.005264,2.016564,2.024009,227.691868,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
67,2026-09-06 06:41:02.856488,2026-09-06 06:41:04.872711,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.991954,124.986148,126,0.0,126,126,1.982733,0.008313,1.976855,1.988611,231.679005,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
68,2026-09-06 06:41:06.982554,2026-09-06 06:41:09.021329,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.980981,123.603651,126,0.0,126,126,2.052611,0.119988,1.967766,2.137455,235.827622,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
69,2026-09-06 06:41:10.980897,2026-09-06 06:41:13.014809,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.983327,123.899184,126,0.0,126,126,1.983096,0.067148,1.935616,2.030576,239.821102,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
70,2026-09-06 06:41:14.864046,2026-09-06 06:41:16.902017,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.981368,123.652411,126,0.0,126,126,1.984198,0.051852,1.947534,2.020863,243.70831,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
71,2026-09-06 06:41:18.847622,2026-09-06 06:41:20.881155,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.98351,123.922266,126,0.0,126,126,1.997071,0.048589,1.962713,2.031429,247.687449,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
72,2026-09-06 06:41:22.875310,2026-09-06 06:41:24.919542,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.978363,123.273729,126,0.0,126,126,1.997453,0.001687,1.996259,1.998646,251.725835,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
73,2026-09-06 06:41:26.847779,2026-09-06 06:41:28.852528,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.498816,62.850759,126,0.0,126,126,1.973822,0.0,1.973822,1.973822,255.658821,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
74,2026-09-06 06:41:29.097658,2026-09-06 06:41:31.124883,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.98657,124.307829,126,0.0,126,126,2.024411,0.318859,1.798944,2.249879,257.931177,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
75,2026-09-06 06:41:32.993216,2026-09-06 06:41:35.018293,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.987616,124.439677,126,0.0,126,126,1.975118,0.171822,1.853622,2.096614,261.824587,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
76,2026-09-06 06:41:36.965175,2026-09-06 06:41:39.003396,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.981248,123.637267,126,0.0,126,126,2.040897,0.109518,1.963456,2.118338,265.809689,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
77,2026-09-06 06:41:40.847270,2026-09-06 06:41:42.886563,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.490366,61.786103,126,0.0,126,126,1.918638,0.0,1.918638,1.918638,269.692857,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
78,2026-09-06 06:41:42.909171,2026-09-06 06:41:44.958111,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.976114,122.990413,126,0.0,126,126,2.004029,0.081845,1.946156,2.061902,271.764405,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
79,2026-09-06 06:41:46.913503,2026-09-06 06:41:48.943592,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985178,124.132451,126,0.0,126,126,2.005239,0.074864,1.952302,2.058176,275.749886,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
80,2026-09-06 06:41:50.911476,2026-09-06 06:41:52.932934,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.989385,124.662457,126,0.0,126,126,1.992455,0.075258,1.939239,2.045671,279.739228,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
81,2026-09-06 06:41:54.875882,2026-09-06 06:41:56.926257,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.487716,61.452174,126,0.0,126,126,2.025167,0.0,2.025167,2.025167,283.73255,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
82,2026-09-06 06:41:56.953034,2026-09-06 06:41:58.994603,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.979639,123.434491,126,0.0,126,126,2.011593,0.092715,1.946034,2.077152,285.800896,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
83,2026-09-06 06:42:00.844624,2026-09-06 06:42:02.890157,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.48887,61.597632,126,0.0,126,126,1.945556,0.0,1.945556,1.945556,289.696451,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
84,2026-09-06 06:42:02.976665,2026-09-06 06:42:05.011991,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.982644,123.813104,126,0.0,126,126,2.038829,0.131822,1.945617,2.132041,291.818285,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
85,2026-09-06 06:42:06.960909,2026-09-06 06:42:08.996540,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.982496,123.794556,126,0.0,126,126,1.964917,0.104242,1.891207,2.038627,295.802834,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
86,2026-09-06 06:42:10.954769,2026-09-06 06:42:12.985544,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.984846,124.090552,126,0.0,126,126,2.026446,0.107773,1.950238,2.102653,299.791838,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
87,2026-09-06 06:42:14.844078,2026-09-06 06:42:16.873551,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.985477,124.170148,126,0.0,126,126,1.972879,0.047813,1.93907,2.006688,303.679845,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
88,2026-09-06 06:42:18.860356,2026-09-06 06:42:20.910561,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.975512,122.914538,126,0.0,126,126,2.004837,0.006722,2.000083,2.00959,307.716855,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
89,2026-09-06 06:42:22.854497,2026-09-06 06:42:24.897555,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.978925,123.344506,126,0.0,126,126,1.99164,0.003419,1.989223,1.994057,311.703849,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
90,2026-09-06 06:42:26.862343,2026-09-06 06:42:28.881886,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.990323,124.780724,126,0.0,126,126,2.014232,0.006211,2.00984,2.018624,315.688179,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
91,2026-09-06 06:42:30.895769,2026-09-06 06:42:32.918376,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.988823,124.591658,126,0.0,126,126,1.994286,0.041435,1.964987,2.023585,319.724669,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
92,2026-09-06 06:42:34.841319,2026-09-06 06:42:36.852445,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.497234,62.651454,126,0.0,126,126,1.980563,0.0,1.980563,1.980563,323.658739,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
93,2026-09-06 06:42:36.866823,2026-09-06 06:42:38.871017,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.498954,62.868157,126,0.0,126,126,2.025504,0.0,2.025504,2.025504,325.677311,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
94,2026-09-06 06:42:38.907018,2026-09-06 06:42:40.941650,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.491489,61.927669,126,0.0,126,126,2.040195,0.0,2.040195,2.040195,327.747943,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
95,2026-09-06 06:42:40.979282,2026-09-06 06:42:43.015027,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.982442,123.787641,126,0.0,126,126,1.97705,0.134653,1.881836,2.072264,329.82132,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
96,2026-09-06 06:42:44.853745,2026-09-06 06:42:46.903419,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.975765,122.946393,126,0.0,126,126,1.990875,0.002476,1.989125,1.992626,333.709712,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
97,2026-09-06 06:42:48.949180,2026-09-06 06:42:50.988557,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.980691,123.567121,126,0.0,126,126,2.035169,0.100609,1.964027,2.10631,337.794851,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
98,2026-09-06 06:42:52.848006,2026-09-06 06:42:54.869732,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.494627,62.323011,126,0.0,126,126,1.9348,0.0,1.9348,1.9348,341.676025,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,ReplayExperiment
99,2026-09-06 06:42:54.893241,2026-09-06 06:42:56.939672,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.977311,123.141197,126,0.0,126,126,2.002195,0.060867,1.959156,2.045235,343.745966,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
100,2026-09-06 06:42:58.844340,2026-09-06 06:43:00.875980,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.984426,124.037705,126,0.0,126,126,1.999136,0.010173,1.991943,2.00633,347.682274,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
101,2026-09-06 06:43:02.870834,2026-09-06 06:43:04.910683,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.980465,123.538553,126,0.0,126,126,2.008449,0.016568,1.996734,2.020164,351.716976,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
102,2026-09-06 06:43:06.964930,2026-09-06 06:43:08.993213,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.986056,124.242995,126,0.0,126,126,2.021581,0.107171,1.9458,2.097362,355.799507,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
103,2026-09-06 06:43:10.985164,2026-09-06 06:43:13.032124,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.977059,123.109413,126,0.0,126,126,2.008204,0.093663,1.941975,2.074434,359.838417,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
104,2026-09-06 06:43:14.975136,2026-09-06 06:43:17.021153,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.977509,123.166122,126,0.0,126,126,1.958697,0.126289,1.869398,2.047997,363.827446,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
105,2026-09-06 06:43:18.956339,2026-09-06 06:43:20.961759,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.997297,125.65948,126,0.0,126,126,2.024299,0.123753,1.936792,2.111806,367.768053,0.0,0,0,0,0,0,0.0,0,0.0,10.0,1,0.0,ReplayExperiment
