window_id,window_start_time,window_end_time,node_id,src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,packet_rate,data_rate,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_interarrival_time,std_interarrival_time,min_interarrival_time,max_interarrival_time,connection_duration,packet_loss_rate,duplicate_packet_count,out_of_order_packet_count,sequence_number_gap,reconnection_count,crc_failure_count,crc_failure_rate,invalid_packet_count,invalid_packet_rate,burst_intensity,mean_sequence_increment,std_sequence_increment,AttackLabel
422,2026-09-06 06:56:31.136306,2026-09-06 06:56:33.173796,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.9816,123.681552,126,0.0,126,126,1.948593,0.175951,1.824177,2.073009,1159.98009,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,FloodingExperiment
423,2026-09-06 06:56:35.130268,2026-09-06 06:56:37.161628,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.984562,124.05484,126,0.0,126,126,1.998409,0.242363,1.827032,2.169785,1163.967921,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,SlowDoSExperiment
424,2026-09-06 06:56:38.904791,2026-09-06 06:56:40.910786,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.498506,62.811698,126,0.0,126,126,1.94749,0.0,1.94749,1.94749,1167.71708,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
425,2026-09-06 06:56:41.071153,2026-09-06 06:56:43.084208,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.993515,125.182893,126,0.0,126,126,1.995768,0.241257,1.825173,2.166363,1169.890501,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,SlowDoSExperiment
426,2026-09-06 06:56:44.944404,2026-09-06 06:56:46.982390,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.981361,123.65147,126,0.0,126,126,2.007123,0.057918,1.966169,2.048077,1173.788683,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,SlowDoSExperiment
427,2026-09-06 06:56:48.851746,2026-09-06 06:56:50.868952,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.495735,62.462628,126,0.0,126,126,1.941173,0.0,1.941173,1.941173,1177.675246,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
428,2026-09-06 06:56:50.885423,2026-09-06 06:56:52.886270,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.999577,125.946655,126,0.0,126,126,1.999734,0.048002,1.965792,2.033677,1179.692564,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,SlowDoSExperiment
429,2026-09-06 06:56:54.974008,2026-09-06 06:56:56.974230,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.999889,125.986018,126,0.0,126,126,2.034197,0.125294,1.945601,2.122793,1183.780524,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,SlowDoSExperiment
430,2026-09-06 06:56:58.966987,2026-09-06 06:57:01.013974,1,10.47.28.17,0.0.0.0,58214,9000,1,126,0.488523,61.553868,126,0.0,126,126,2.047378,0.0,2.047378,2.047378,1187.820268,0.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,SlowDoSExperiment
431,2026-09-06 06:57:01.035917,2026-09-06 06:57:03.084630,1,10.47.28.17,0.0.0.0,58214,9000,2,252,0.976223,123.004068,126,0.0,126,126,1.945799,0.174134,1.822668,2.06893,1189.890923,0.0,0,2,0,0,0,0.0,0,0.0,10.0,0.0,0.0,SlowDoSExperiment
